City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
212,itaberaba,-12.5275,-40.3069,75.36,64,92,4.59,BR,1689600534
213,dzilam gonzalez,21.2833,-88.9333,79.63,86,37,4.81,MX,1689600535
214,revelstoke,50.9832,-118.2023,69.82,56,100,17.27,CA,1689600445
215,nantucket,41.2835,-70.0995,77.14,92,100,5.75,US,1689600344
216,bam,29.106,58.357,104.38,6,0,15.64,IR,1689600537
217,antsiranana,-12.2787,49.2917,81.36,57,40,13.8,MG,1689600102
218,bonthe,7.5264,-12.505,81.75,76,100,9.42,SL,1689600158
219,canals,38.9625,-0.5844,84.88,40,0,10.42,ES,1689600538
220,codrington,-38.2667,141.9667,41.94,89,0,10.47,AU,1689600225
221,bad birnbach,48.4449,13.091,85.12,44,3,6.78,DE,1689600540
222,mount gambier,-37.8333,140.7667,42.35,89,0,7.45,AU,1689600360
223,arraial do cabo,-22.9661,-42.0278,73.26,78,40,9.22,BR,1689600173
224,new ulm,44.3125,-94.4605,59.56,83,0,9.22,US,1689600542
225,bridgewater,44.3835,-64.5155,73.67,95,100,14.97,CA,1689600543
226,salinopolis,-0.6136,-47.3561,84.0,69,34,12.8,BR,1689600543
227,kingston,17.997,-76.7936,86.23,71,20,9.22,JM,1689600261
228,pacific grove,36.6177,-121.9166,59.02,87,0,0.0,US,1689600199
229,raduzhny,62.0961,77.475,73.51,45,99,5.64,RU,1689600545
230,kailua-kona,19.6406,-155.9956,78.76,87,100,5.01,US,1689600055
231,bangar,16.8936,120.4243,80.22,86,99,6.58,PH,1689600546
232,choyr,46.3611,108.3611,77.83,33,0,4.97,MN,1689600547
233,guayaramerin,-10.8368,-65.3614,78.85,83,20,2.3,BO,1689600547
234,kinablangan,7.6947,126.5503,79.11,84,100,4.81,PH,1689600548
235,faya-largeau,17.9257,19.1043,112.89,11,0,6.91,TD,1689600337
236,paka,4.6374,103.4368,82.33,94,100,0.0,MY,1689600549
237,canutama,-6.5339,-64.3831,81.64,69,91,0.98,BR,1689600550
238,tabou,4.423,-7.3528,78.84,84,82,12.03,CI,1689600550
239,happy valley-goose bay,53.3168,-60.3315,70.11,88,100,6.91,CA,1689600105
240,kota bharu,6.1333,102.2386,84.15,83,20,0.0,MY,1689600551
241,guaruja,-23.9931,-46.2564,74.89,26,75,2.3,BR,1689600552
242,pucheng,27.9233,118.5333,77.65,91,86,0.51,CN,1689600552
243,la ronge,55.1001,-105.2842,53.85,87,0,2.3,CA,1689600211
244,svetlyy,54.675,20.1347,80.65,39,82,13.67,RU,1689600553
245,enewetak,11.3474,162.3373,82.96,80,20,15.73,MH,1689600196
246,punta arenas,-53.15,-70.9167,37.51,81,75,13.8,CL,1689600139
247,kalanwali,29.85,74.95,98.33,42,62,4.27,IN,1689600556
248,torghay,49.6339,63.4981,85.19,25,100,18.3,KZ,1689600556
249,yreka,41.7354,-122.6345,63.37,59,0,8.05,US,1689600557
250,ad-damazin,11.7891,34.3592,90.61,44,16,6.93,SD,1689600557
251,fukuecho,32.6881,128.8419,81.0,84,100,12.84,JP,1689600558
252,korsakov,46.6328,142.7813,55.24,90,94,3.44,RU,1689600558
253,kapuskasing,49.4169,-82.4331,57.2,94,100,5.75,CA,1689600127
254,yomju-up,39.8933,124.5981,70.02,89,0,1.79,KP,1689600560
255,lihue,21.9789,-159.3672,80.19,80,40,14.97,US,1689600235
256,ngambe,4.2333,10.6167,80.38,81,50,2.51,CM,1689600561
257,orangeburg,33.4918,-80.8557,81.82,85,0,1.01,US,1689600561
258,carnarvon,-24.8667,113.6333,64.58,52,0,9.75,AU,1689600110
259,dryden,49.7833,-92.7503,53.89,94,100,6.91,CA,1689600356
260,nanfeng,23.7434,111.7959,78.64,91,100,14.92,CN,1689600563
261,pyt-yakh,60.7499,72.8582,74.75,44,89,5.23,RU,1689600563
262,kharupatia,26.5167,92.1333,76.55,93,83,8.99,IN,1689600564
263,kaa-khem,51.6833,94.7333,68.23,55,8,5.91,RU,1689600565
264,sandnessjoen,66.0217,12.6316,61.32,88,75,18.41,NO,1689600565
265,cole harbour,44.6724,-63.4751,77.94,95,75,11.5,CA,1689600566
266,miquelon,47.0975,-56.3814,62.6,98,100,6.78,PM,1689600566
267,haiku-pauwela,20.9219,-156.3051,75.04,81,100,13.8,US,1689600567
268,chernyshevsk,52.5243,117.0174,78.19,37,71,7.56,RU,1689600567
269,templin,53.1186,13.5022,81.18,41,100,11.63,DE,1689600568
270,whakatane,-37.9585,176.9854,49.77,99,0,5.75,NZ,1689600568
271,arkhangel'sk,64.5401,40.5433,80.96,32,96,5.82,RU,1689600556
272,thinadhoo,0.5333,72.9333,83.62,74,12,8.55,MV,1689600089
273,tsiombe,-25.3,45.4833,76.77,49,1,10.47,MG,1689600363
274,el salto,20.3333,-104.5,63.34,90,8,1.95,MX,1689600571
275,margaret river,-33.95,115.0667,59.76,85,100,13.51,AU,1689600122
276,igarka,67.4667,86.5833,62.65,69,44,11.43,RU,1689600572
277,sao felix do xingu,-6.6447,-51.995,87.78,38,63,3.27,BR,1689600573
278,pau brasil,-15.4642,-39.6511,77.81,67,55,1.23,BR,1689600573
279,shakhtinsk,49.71,72.5872,89.62,23,57,12.41,KZ,1689600574
280,ghanzi,-21.5667,21.7833,74.44,15,0,13.56,BW,1689600045
281,roma,43.2128,-75.4557,77.95,76,75,4.61,US,1689600429
282,yashkino,55.8736,85.4265,68.45,74,54,2.84,RU,1689600575
283,badger,64.8,-147.5333,59.5,87,75,5.75,US,1689600154
284,springbok,-29.6643,17.8865,73.58,17,4,11.5,ZA,1689600576
285,novaya igirma,57.1334,103.9112,64.45,73,95,5.32,RU,1689600577
286,ruza,55.699,36.1952,81.37,35,27,4.88,RU,1689600578
287,nelson bay,-32.7167,152.15,57.99,98,3,1.01,AU,1689600578
288,mugia,43.1041,-9.2179,79.92,67,0,20.09,ES,1689600579
289,fort bragg,35.139,-79.006,79.83,80,0,3.44,US,1689600124
290,klaksvik,62.2266,-6.589,49.12,86,100,24.14,FO,1689600580
291,taupo,-38.6833,176.0833,47.52,79,64,10.07,NZ,1689600170
292,remire-montjoly,4.9167,-52.2667,78.84,89,40,3.44,GF,1689600017
293,sisimiut,66.9395,-53.6735,44.42,99,100,3.15,GL,1689600581
294,sarykemer,43.0,71.5,98.08,14,8,10.36,KZ,1689600582
295,togur,58.3631,82.8265,71.42,58,22,3.65,RU,1689600582
296,magadan,59.5667,150.8,54.54,96,73,2.06,RU,1689600220
297,stabat,3.761,98.4513,84.4,87,95,0.72,ID,1689600583
298,maceio,-9.6658,-35.7353,78.24,88,75,10.36,BR,1689600584
299,fernandina beach,30.6697,-81.4626,84.18,92,88,5.99,US,1689600584
300,nova sintra,14.8667,-24.7167,73.09,79,22,15.86,CV,1689600186
301,kasulu,-4.5767,30.1025,83.43,23,64,6.46,TZ,1689600585
302,fauske,67.2588,15.3918,62.94,72,69,4.54,NO,1689600586
303,puerto maldonado,-12.6,-69.1833,79.2,83,20,0.0,PE,1689600586
304,shahin dezh,36.6793,46.5669,89.22,23,3,14.29,IR,1689600587
